igbo_word,english_translation,pronunciation_guide
ǹgwọ̀ǹgwọ,"a dish of pepper-sauced meat, especially goat head",https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/63307f7d7e9cd182548c31f8.mp3
ahāǹjìmārā,a display name for online platforms; username,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/629f3fc46c68b9a1379b7ced.webm
nzèrē,a document that proves eligibility; certificate; pass; permit,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/61734554c1422f0291e286d9.webm
òmeè,a doer; someone who does something; a performer,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/63233f5dac6d9e71796d4978.mp3
nwabèbi,a doll or toy with a human shape usually meant for children,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/62e5cb9742b322a6bd4d0c05.mp3
ọ̀kụkọ̀,a domestic cock or hen; chicken; fowl,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35f49f7e863e92b87d3.webm
òbèjìrì,"a double-edged, straight, sword used in battle; cutlass",https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/632c59d8a789c0de1cb534b5.mp3
ǹdagbu,a fall of something heavy so as to kill; fall occasioning death (usually of another object but can be of object falling),https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/645c0a761b7769d8359c0af0.mp3
àsị,a false information; lie,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35f49f7e863e92b85f4.webm
ọ̀kpanyị,a fanatic,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6334e2c96a18b825a1850cff.mp3
onyeụjō,coward; person who cannot endure pain,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/63c227be77719956212a9215.mp3
ọṅụ̀,a feeling of joy; gladness,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/634cf12eaf5264c92751bce3.mp3
umerē,a felt message from a person's conduct or a situation; attitude; carry; conduct; vibe,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6007615488d8f2458389d791.webm
nwa nwaànyị̀,a female child; daughter,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6376c125ca0490feba111097.mp3
Ijèọma,"a female name meaning 'a good journey'; safe journey, safe trip",https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/607b4edfa89145a4ec704834.webm
Ijèmmā,"a female name that means journey mercies, pleasant journey, beautiful journey",https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/63c16ce39bcfb584b9b7b305.mp3
òlenòòlē,a few; some,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35f49f7e863e92b862d.mp3
ọ̀gụụlọ̀,fighting between people of same town or village,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/63554b8855146c1059d0e95f.mp3
kàtuùnù,a film using animation techniques to photograph a sequence of drawings rather than real people or objects; cartoon,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/637c125c24cb287d2a5d8319.mp3
achị,a flat brown dicotyledonous seed used mostly as a soup thickener (Brachystegia Eurycoma),https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/632f31a0db7f332e8b45f8b6.mp3
àkwà,a flat structure suspended above the ground,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b700a.mp3
onyemgbù,a foolish person or someone who is naive or gullible,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/62e5cb9842b322a6bd4d10cf.mp3
ewu,goat;,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b762f.webm
òriàkụ̀,a formal title used to address a married woman; missus; Mrs,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b6e6b.webm
maàzị̄,a formal way to address a mature male; mister; Mr,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35f49f7e863e92b7fd0.webm
arò,a formulated thought or opinion; idea,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b7084.mp3
dibụlọ̀,a full grown family man,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/63f896d5c69a8b90b89bb59c.mp3
ero,a fungal growth that typically takes the form of an open umbrella; mushroom,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b75e8.mp3
ọgbakwụ,a funnel,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/633450303b386529cb6a5230.mp3
akwà,cloth; fabric;,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/636ed528b75d1b7298ae7957.mp3
aṅàashị̀,a giant black ant with a very painful bite and characteristic bad smell; giant plectrotena,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b71c4.webm
nleanyā,a glance,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35f49f7e863e92b81fa.webm
arụ̄sị̄,"a god or goddess, especially in polytheism; deity;",https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/631bd41a65ab50aa750deb43.mp3
ògenè,a gong; a single or twin cone shaped iron gong,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6328b9e399b5582384c0105c.mp3
òseēkā,a good for nothing; an irresponsible person,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/63530edb8bdfdc5835adeff2.mp3
onyeàsị̀rị̀,a gossip; someone who likes talking about other people’s private lives,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/634f1cc1f19bae56f5c6a184.mp3
ahụ̀,that,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/60ba3f360ded8c00fe5d672b.webm
nwannwā,a grandchild,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6360979dc533375d8904e564.mp3
ehùrù,a groundnut-like shaped seed used for flavoring  food in some parts of Igboland ; African nutmeg,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6425704f9692bd402f9e59d2.mp3
òtunzuzo,secret cult with tendency to harm,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6356c0c7c478523bb67b513d.mp3
òtuọgbọ,a group of persons who are born within the same period of time,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/634cf718dbc4af59e169c974.mp3
ùkwù,bundle,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35f49f7e863e92b8bc0.webm
ọkwụakā,a hand with fingers turned inward exposing the knuckles; fist,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/63af663c50c196e8e052bd64.mp3
òkpuaghā,a hard headgear made for protecting the head; helmet,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/63c4db49e6516332ce2588d7.mp3
òkpuatā,"a hat with a broad rim, especially used when farming to shield from the sun; straw hat",https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/62e9154affb292657e15cf6f.mp3
isiakwụ̄,a head of palm fruit,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6345c61706468bd6fdb220f3.mp3
ọ̀gọm̄mụ̄ọ̄,a heathen; a worshiper in the traditional religion; a traditional worshipper,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6371a676969d21ba75c5811d.mp3
àkpàkwùrù,"a hollow, flexible structure that holds things in it; sac; pouch",https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6367ea91ad8f7730d57e1b0c.mp3
ụlāàkwụ̀nà,a house where prostitutes or sex workers do business in; brothel,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/63bc3200e4d22b70674962e8.mp3
ụlāàlà,a house with only a ground floor and the roof; bungalow,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b724b.mp3
ìnyòm,a human that can produce eggs and bear offspring; female (human),https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b7a9f.webm
ụròokwū,a humorous speech produced by using words that suggest two or more things; pun; paronomasia,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35f49f7e863e92b83e7.mp3
àgwà,a kidney shaped legume with good quantity of protein and carbohydrate; beans,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6343f50dd5ac45de8dca8278.mp3
abụ̀ke,"a kind of domestic fowl which never grows to a large size but is tough, with ruffled feathers (usually used for sacrifice)",https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/637cec23123d7e5c90aee3e0.mp3
ǹgàjì,a kitchen utensil used in scooping food and also putting food in the mouth; spoon,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/633d720e6b46fd6a632ad876.mp3
mmèekwū,"a knife used, in the kitchen, for food preparation, especially cutting vegetables and meat; kitchen knife; cooking knife",https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b7472.webm
mkpàdo,"a labelor plastic that is attached to something to indicate it's owner, price etc; tag",https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/644e85602c5a7a7a9bfae8f2.mp3
nwaādā,a lady; an unmarried young woman,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b6def.webm
ògòrì,a lady; beautiful woman,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/63c627b2713efe47a99f9713.mp3
eku,a large long handed spoon used to scoop from pots; ladle,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b75b5.mp3
ùsù,a large number of people or things with a common aim; army; battalion; host,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b6ebb.webm
enyimmīrī,a large short legged mammal that lives in and off water; hippopotamus or hippo (Hippopotamus amphibius); river horse,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/63440c50f1fb19d9f8c7d7db.mp3
ama,a large space of land in front of a house but outside the premises; a large public space;,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b70a5.webm
nkwàgo,"a large, table, structure upon which people stand so as to be properly seen while entertaining or addressing people; stage",https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/63285a78e1fd30ae5a349c4e.mp3
agbòrò,a lawless or violent person who commits crimes; thug,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/63631a7d869898466de9e111.mp3
alị̀ka,a lean person,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/63c03666d410a8740cf74219.mp3
ụ̀zàakị̄,a legume which is often fried in a pot without oil and eaten with palm kernel,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/64240c993008ee90c3a391fa.mp3
mbàchara,a level surface without raised areas ; flat,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b6e16.webm
ọbaakwụkwọ,a library,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/634ee1be30b168168d84792b.mp3
takọ,a liquid not being available on a surface or body it used to be in or on due to absorption or evaporation; dry up (liquid),https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/632adfd7ecfc89b9bfdc967c.mp3
ịnvọịsị,a list of goods or services; a bill,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/640d028876733a7e40dced29.mp3
àyàràaya,a local delicacy made of corn and beans,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/639d57402eb163565b7c9d10.mp3
akpata,a long native broom for sweeping the compound,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/63c72e5bad332366a3455c1d.mp3
m̀kpọ,a long stick for walking; walking stick,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6336e985b0a2a509799588ae.mp3
okè,a lot; too much; large extent; much,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35f49f7e863e92b858c.mp3
mmōògè,a machete used for domestic purposes; knife used for gardening,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35f49f7e863e92b80c5.webm
injìn,a machine that is used for a particular purpose often powered by a petroleum product or electricity,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/63b80d0fd71436e7c3508046.mp3
Òkaàfọ̀,a male child born on 'Afọ' day,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6447dfd5510e7c6b64224306.mp3
Òkon̄kwọ̄,a male child born on 'Nkwọ' day,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b7a35.mp3
Òkoòrìè,a male child born on 'Orìè' day,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6447e48c510e7c942122478f.mp3
nwa nwokē,a male child; son,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6376c20bca049069f9111155.mp3
m̀kpi,a male goat; he-goat,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35f49f7e863e92b8082.mp3
èbùlè,a male sheep; ram,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b7525.webm
nwannē  nwokē,a male sibling; brother,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35f49f7e863e92b8421.webm
ngagharị̣iwē,a mass protest (often to express dissatisfaction); demonstration,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/634454b60c729397580d6121.mp3
ịgbà,"a meal prepared with a type of legume, with other ingredients, often wrapped in nylon or a special leaf.",https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6425587637e5b11ff60684d7.mp3
mmà,knife,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35f49f7e863e92b80cb.webm
ǹsònààzụ,a morpheme attached to the end of a word to form a derivative; suffix,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/634557b6a3abe00c4f4b5dd3.mp3
ahāǹjakị̀rị̀,"a name given to someone, especially to make jest of the person; nickname",https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b6dfe.webm
Nnekà,"a name of a person, especially female, meaning 'motherhood is the best'",https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6351e1a26625f46eb5f910d1.mp3
àchị̀chà,a native Igbo delicacy made of dried cocoyam and beans; cocoyam flakes,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6336ece449001a5272f0977d.mp3
ụ̀bọākwārà,a native Igbo stringed instrument,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b7036.webm
ùrì,"a native semi-liquid ornament applied on the body as make up, mostly by women.",https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6336ee6449001a7900f098c4.mp3
onyeọhụrụ,"a new baby, newcomer or a new person",https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/63f8a5eb0f52e11347d3cc5d.mp3
ọzọ̄,"a noble chieftaincy, in Igbo land, conferred on an indigene",https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35f49f7e863e92b88c0.webm
ìkwììkwiī,"a nocturnal, disc headed, hooting bird with large round eyes; owl",https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/63c15dac8e80a7a4bfd03cf2.mp3
Àjị̀kwụ̀,a noisy masquerade with a lot of items on its body,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/635314f38bdfdc6c93adf472.mp3
nnwògha,a noticeable change in form; transformation,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/638a042671138621b6274725.mp3
nọọ̄sụ elizā,a nurse who is practicing without a license; a quack nurse,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6344586757a64e4fb4eff06d.mp3
ụkpà,"a nut with a hard, black shell and a white nut inside of it; African walnut",https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/63917f8f5399dda5856f37c1.mp3
mgbàkwūnyē,a part that is added to something to enlarge or prolong it; extension; add-on; addition,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6271c4b1cfa81752269e7b1f.webm
ebe,a particular location; place,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b7500.mp3
ọnọ̀dụ̀,"a particular spot, position or way someone or something is placed",https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/634eb2d205230815ac2747df.mp3
shishì,a penny; a dime,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35f49f7e863e92b89fd.webm
ǹgwe,a perimeter fence,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/63a9c2de82b422434fb7ca86.mp3
ọnwa asaà,a period of seven months; seventh month (July),https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/634e4c9d39ba188657099dda.mp3
ọ̀dị̀niihu,a period of time when an action or activity is yet to happen; future,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/62e5cb9442b322a6bd4d00db.mp3
amōōsū,a person believed to have supernatural powers to attack others; a witch or wizard,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/63b1ad4f0c56c080fddc859b.mp3
ìchiè,the noble ranks of the 'ǹzè' and 'ọzọ̄' in the Igbo traditional system,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b7986.webm
ọ̀gbọ,a person of the same age or belonging to the same age group; age mate ​,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b72b9.webm
onyaarā,a person suffering from acute psychosis; mad person; lunatic; a crazy,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/633af95c8aa8c72961156019.mp3
onyeǹnọ̀chiteānyā,a person that represents another person in formal events; representative,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/63b5a263618f9f56528ac1c9.mp3
onyeozī,a person who carries message; messenger,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/638fe434494f817042036a3f.mp3
òdeboògè,a person who keeps track of time in an event or for an organization; timekeeper,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/63bdb221f3849402fd1e0ccf.mp3
òtiēgwū,a person who performs music or plays musical instrument; musician; instrumentalist,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6369176bac22327db2f1be87.mp3
ọ̀kpụụbọ,"a person who plays guitar, guitarist",https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6336f2ffb0a2a533b8958972.mp3
onyoohi,a person who steals things from people; a thief,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/632f885acbc47bb9546e2627.mp3
òdaākwụ̄kwọ̄,"a person who writes for a purpose, especially officially; writer; author;",https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6345d59f100e3244f4947155.mp3
òdebeego,a person whose duty is to keep money or valuables,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/634457fec2091b4eb9d41d4a.mp3
enwēnneenwēnnà,an orphan,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/634e4cf3e7c2ceb54b63f857.mp3
ǹgwụrọ̄,inability of the legs to function; paralysis,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b73d0.mp3
nhagidookwū,a phrase that contains two contrasting ideas; antithesis,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b716e.webm
nkwarụ,a physical or mental condition that limits the full function of a person or thing; disability; handicap,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b71b9.mp3
mkpị̀,"the state of having more than one, of the same, in one body; double, triple, quadruple, etc",https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35f49f7e863e92b852b.webm
kòbokò,"a piece of animal skin used as whip to hit animals or people,",https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/63adca9f1d54f6ef24228d26.mp3
ihemgbòchiobì,a piece of armour covering the chest; breastplate,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/63fe3da5dd0c63f20a10f9dd.mp3
ị̀chàfụ̀,a piece of cloth worn on the head or neck as a covering; head tie; scarf,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/638fc0bc164e138283a36a49.mp3
̣ọ̀gọ̀dọ̀,"a piece of cloth wrapped around the waist, especially by men; loin-cloth; waistcloth; one piece fabric worn by men around their waist (wrapper - Nigeria)",https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6333265159676a070ea8bcf4.mp3
ubì,a piece of land where crops are planted; a farmland,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/63248dc1c47f83e297a217ed.mp3
ilu,"a pithy speech that is short, well-known, and states a general truth or piece of advice; proverb",https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b7a92.mp3
ụkàbụilu,"a pithy speech, in form of a short story, that advises or states a general truth",https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35f49f7e863e92b8bfa.webm
ụlàakwụkwọ,a place for learning; school,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b7060.mp3
ọdụ̀ụgbeelū,a place where aircraft can land and take off; airport,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/635fc2bf113c724bc9cb4ba8.mp3
ọbannyòcha,a place where experiments or research are carried out; laboratory,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/63631a38869898e93ce9e08f.mp3
njibì,a place where to or more things join together in a structure; joint,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/634148ed1d1b5a2051dcbc40.mp3
Ezūùgò,a prestigious king; an honorable king,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b7638.mp3
onyeǹchụàjà,a priest; a person who offers sacrifices (especially for religious purposes),https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6357aac145ec02b8805cb3db.mp3
onyeọkụ̀,a professional,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/638822629c91198b15d61606.mp3
agarachaa,an indecisive person trying out several things,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/631626bf7ff99522deae57a0.mp3
onyeamụma,a prophet; a person who foretells future events by divine means,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6357b6ece3332e5571722d26.mp3
àkwụ̀nà,a prostitute; sex worker; harlot,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/606bfadb38e65de05445dd1d.webm
ezènwaànyị̀,a queen; goddess,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b763f.mp3
ǹjụōyī,a refrigerator; a fridge,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35f49f7e863e92b7e33.webm
nrù,a rite; homage,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/632869cb40e9d1a3dc9601da.mp3
̣òkwelagha,a road barricade put in place to prevent crossing; a roadblock,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/62e935db5646ad08a7e03cef.mp3
ùrirì,a rodent that resembles a squirrel,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6352f54fbd2dc7f24f8b2a42.mp3
njinji,a surprising event,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/63c09a6d765b58f79824ec0a.mp3
goòlù,"a score, achieved in a ball game eg. soccer; goal (game)",https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35f49f7e863e92b87f0.mp3
mbèmmīrī,a sea animal with shape of a tortoise; a turtle,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/62e5cb9742b322a6bd4d0a5b.mp3
akpàratā,a seed used for preparing soup; mohagany seed,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6422754190873635a96d3cab.mp3
ìgbùdùokwū,a self-contradictory statement whose underlying meaning is revealed by careful scrutiny; paradox,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b7845.webm
àgìdi,a semi-solid (jellof-like) food made from maize and wrapped in special leaves,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b6e73.webm
sajiǹ,a sergeant in the army with a rank above corporal,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/63a9b5e4742399ca9e0ef204.mp3
efere,"a shallow, flat-bottomed dish, from which food is eaten or served; plate",https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b6e1a.mp3
ọ̀tà,a shield,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/633f01b0333d770c772d2759.mp3
òkolo,a shield fixed in front of a gun to protect its operator; a gunshield,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/633f002041b37c546f832948.mp3
akpụ̀okwū,"a short but insightful statement, which communicates a thought in a witty or funny way; epigram",https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b71c2.webm
mkpụrookwū,"a single, clearly meaningful, element of speech or writing; word",https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35f49f7e863e92b8848.mp3
atụ̀màtụ̀,a sketch of activities designed to achieve a particular purpose; a plan,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/62e5cb9842b322a6bd4d13bb.mp3
m̀bènuukwù,a skirt whose length does not go beyond the thighs; mini skirt or dress,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/639134f946764e0b5cccd28c.mp3
m̀bọ̀m̀chi,a sleepover at a presumed sexual partner's,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b77af.webm
ụ̀ra,a smack on the cheeks; slap,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35f49f7e863e92b8802.webm
ahụhụ,a small arthropod animal that has six legs and generally one or two pairs of wings; insect,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b6e65.mp3
ịsam,a small greenish hard rough shell mollusk; periwinkle,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35f49f7e863e92b8369.webm
ekwè,a small wooden chair used mostly in the kitchen; stool,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35f49f7e863e92b882a.mp3
nlị̄lā,a smaller specie of snail that is always seen in gardens and on walls; garden snail; pointed snail,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/63064d2e9acd4ddd5dfbf887.mp3
mkpụrụasụ̀sụ,a smallest unit of language that carries meaning; morpheme,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6334eb516a18b8551c850dd5.mp3
ògìgè,premises; surrounding,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35f49f7e863e92b852f.webm
namà,a specie of cow raised in Northern Nigeria,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/63ac9c401489cc628e243324.mp3
aṅàrà,a specie of egg plant which is usually very tiny; garden egg,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b71c5.webm
m̀pètè,a specie of fish,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/638fc646164e133602a370c2.mp3
