igbo_word,english_translation,pronunciation_guide
zọhiè ụkwụ̄,miss a step; step into a wrong place or spot; misstep,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/639d58a12eb163932e7c9e3f.mp3
kwughe,open a lid or cover,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35f49f7e863e92b8c26.webm
kà ìkpe,pass a judgement; say what the judgement is; give a decision concerning a court case,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/627d223be378ba096c74ea59.webm
kpọ̄ ụ̄bọ̄,play a string musical instrument; play a guitar,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35f49f7e863e92b7da0.webm
ìtè,pot; a cylindrical container that holds things that are being cooked,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5fe053089c449c00156afd67.webm
yị̀ ǹtatàrabụ̀,prod a part of the body in a way that causes laughter; tickle,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/631a78986d680c5ad7ac5c59.mp3
chi ọzọ̄,take a title; take ọzọ title (literally take honour);,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/644d1da99bc5ed077167f7dc.mp3
kụ mgbarịmgba,ring a bell,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/63da990e0498a4f146751e7d.mp3
kpọla,"take a person or pet home, especially because the person can't go alone",https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35f49f7e863e92b7d71.webm
zùru ike,take a rest,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35f49f7e863e92b8da2.mp3
wère ochē,take a seat or chair,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35f49f7e863e92b84e2.mp3
kère òkè,take a share,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/633076739d324a3b80be7735.mp3
fò ifò,tell a tale; fable,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35f49f7e863e92b8958.webm
chètụ,wait a little,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6474e80c267fd04ade90ead1.mp3
bọ èzi,weed a compound or surrounding,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b7657.webm
rụ ugbō,work a farm,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35f49f7e863e92b8b95.webm
tọ̀ ute,place a mat (spread),https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35f49f7e863e92b8acc.webm
te imē,abort a pregnancy,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b7a78.mp3
mgbịrịgba,bell; a hollow metal object with a pendulum inside or a clapper outside which produces a sound when it hits the cup shaped part,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/636286d4e1ef40f212fca26f.mp3
ghasà,alter a plan; disorganize something,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/63dd8ea24e10b57b823dc141.mp3
ụgbàrị̀,line; a stretch of mark,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/641f9b7e5a7a13318fde9422.mp3
ụlaàkụ̀,bank; a commercial establishment where money and other treasured belongings are secured,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/600a229735141b8a31b52721.mp3
nọ̀,be in a place; stay,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35f49f7e863e92b8355.webm
ǹlurumìlu,bile; a digestive secretion by the liver which aids the digestion of fats,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/635313fb8bdfdc3a86adf3a5.mp3
tụ ụ̀dọ̀,braid a rope,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/63d19e901ee8631ae81b6e91.mp3
kpà eriri,braid a string or thread,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/647f636ce9b2dd5268ea9e2d.mp3
ti ụnọ̀,build a (good) house,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/64ef69a7f5eb14e2297283b2.mp3
do ajā,build a wall; set up blocks to build a house,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6454fb97ff08fffe2652cd3a.mp3
kù nnwā,carry a baby; nurse a baby; look after a baby,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/647c498d538c92582582cb14.mp3
tụkpọ,cause a dent on something by throwing something at it or throwing it onto something,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/63626568e1ef40c1a9fc9afc.mp3
mapụ̀ ōbì,cause a scare; startle; cause the heart to skip a beat due to fear; take the breath away,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35f49f7e863e92b7fa0.webm
sụ ọhịa,clear a bush,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6430083e5b20dd608c7c538f.mp3
kpochi,cover a hole by filling it up,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35f49f7e863e92b7d47.webm
ìzù,plan; a detailed resolution on what to do,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6461cbc60cbc7a9f094ca6be.mp3
je ozi,go on a message or errand,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b7b93.mp3
gbàta,"fetch a liquid (water, oil, wine, syrup)",https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6484224eac4648c4cb8c89da.mp3
lụ̀ agha,fight a war or battle,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b6ebd.mp3
nra,fine; a levy paid or placed upon someone for going against a law,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35f49f7e863e92b8358.mp3
chị ìnyèmè,have (a number of) wives,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b7a98.webm
mụ̀nye ọkụ,light a fire; kindle fire,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/6450bc67ec61497816f3fe30.mp3
ǹgìgè,"line; a rope, cord, or wire used for domestic purpose; a length of rope tied to fixed objects at both ends, especially for spreading clothes",https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/63f993291a8ad01fa31ea1a0.mp3
shi ùshī,lodge a protest,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/5f90c35e49f7e863e92b7c10.webm
zi,lower a load; bring what or who is being carried down,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/630c00af5f1002836de0aa3d.mp3
ǹkọmị̀rị̀kọ,myth [a literary figure of speech/thought involving supernatural beings or events]; idea/belief that is false,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/63418e0b8dca372f7183852d.mp3
òkenammirī,navy; a branch of the military that conducts operations at sea,https://igbo-api.s3.us-east-2.amazonaws.com/audio-pronunciations/64541bc0a20eba111b2903a2.mp3
